Number,Title,Vehicle_class,Manufacturer,Features,Acquisition,Price,Storage_location,Delivery_method,Modifications,Resale_flag,Resale_price,Race_availability,Top_speed_in_game,Based_on,Seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
1, Police Prison Bus,Emergency,Vapid,"Has Variants, Has Trade Price, Peds can stand on top",Warstock Cache & Carry,"$731,500 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,55.92 mph (90.00 km/h),International Harvester S-Series; Chevrolet Kodiak; Blue Bird CV200,11,"9,000	KG",RWD,4,17-Sep-13,1.01 Game Launch,65.25 mph (105.01 km/h),02:00.8,No,1,1,2,1,1,"Speed
48.29","Acceleration
35.00","Braking
8.33","Handling
40.91","Overall
33.13",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-police-prison-bus
2, BF Ramp Buggy,Off-Road,BF,"Has Variants, Has Trade Price, No Passive Mode, Special Vehicle, Unique Radar Icon",Warstock Cache & Carry,"$3,192,000 ",Vehicle Warehouse (Special),Interaction Menu - Special Vehicles,Los Santos Customs,Cannot be sold,NA,Transform Races Only,93.21 mph (150.00 km/h),Flip Car used in Fast and Furious 6,2,"1,000	KG",RWD,6,13-Dec-16,1.37 Import/Export,113.00 mph (181.86 km/h),01:05.7,No,1,1,2,1,1,"Speed
80.48","Acceleration
80.00","Braking
33.33","Handling
85.92","Overall
69.94",https://www.gtabase.com//grand-theft-auto-v/vehicles/bf-ramp-buggy
3, Benefactor BR8 (Formula 1 Car),Open Wheel,Benefactor,"Has Liveries, KERS Boost",Legendary Motorsport,"$3,400,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$2,040,000	
	($2,266,625 when fully upgraded)",Can be used in Races,100.97 mph (162.50 km/h),2011 Red Bull RB7 & 2009 Red Bull RB5,1,"550	KG",RWD,6,11-Aug-20,1.51 LS Summer Special,122.75 mph (197.55 km/h),00:54.8,No,1,1,2,1,1,"Speed
87.19","Acceleration
100.00","Braking
43.33","Handling
100.00","Overall
82.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-br8-f1
4, Buckingham Howard NX-25,Planes,Buckingham,"Armored Vehicle, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, Unique Radar Icon",Elitás Travel,"$1,296,750 ",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$778,050	
	($905,125 when fully upgraded)",Can be used in Races,114.58 mph (184.40 km/h),Hughes H-1 Racer,1,"450	KG",NA,NA,26-Sep-17,1.41 Smuggler's Run,203.75 mph (327.90 km/h),00:33.9,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
90.00","Acceleration
97.50","Braking
100.00","Handling
75.00","Overall
90.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-howard-nx-25
5, Vapid GB200,Sports,Vapid,Has Liveries,Legendary Motorsport,"$940,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$564,000	
	($740,625 when fully upgraded)",Can be used in Races,94.45 mph (152.00 km/h),"Ford RS200, pre-facelift second generation Subaru Impreza,",2,"1,180	KG",NA,6,20-Mar-18,1.43 Southern SA Super Sport Series,114.25 mph (183.87 km/h),01:06.8,No,1,1,2,1,1,"Speed
81.56","Acceleration
78.75","Braking
33.33","Handling
100.00","Overall
73.41",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-gb200
6, Declasse Tornado Custom,Sports Classics,Declasse,"Convertible - Soft-top, Custom Vehicle, Has Liveries, Has Variants",Benny's Original Motor Works,"$375,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$225,000	
	($601,995 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Chevrolet Bel Air,2,"2,200	KG",RWD,4,4-Apr-16,1.33 Lowriders: Custom Classics,98.25 mph (158.12 km/h),01:24.4,No,1,1,2,1,1,"Speed
69.75","Acceleration
40.25","Braking
8.50","Handling
56.06","Overall
43.64",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tornado-custom
7, Declasse Stallion,Muscle,Declasse,"Has Variants, Mystery Prize, Removable Roof",Southern S.A. Super Autos,"$71,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$42,600	
	($109,275 when fully upgraded)",Can be used in Races,89.48 mph (144.00 km/h),"68 - '69 & '70 - '71 Oldsmobile Cutlass, '70 Plymouth Hemi Barracuda",2,"1,650	KG",RWD,5,18-Nov-14,1.18 PS4 & Xbox One Release,110.25 mph (177.43 km/h),01:11.6,No,1,1,2,1,1,"Speed
77.26","Acceleration
72.50","Braking
23.33","Handling
68.18","Overall
60.32",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-stallion
8, Declasse Granger,SUVs,Declasse,"Has Variants, Passengers can hang on side",Can be stolen / found,"$35,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$21,000	
	($109,375 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),Chevrolet Suburban,8,"2,400	KG",NA,5,17-Sep-13,1.01 Game Launch,101.50 mph (163.35 km/h),01:16.3,No,1,1,2,1,1,"Speed
75.12","Acceleration
47.50","Braking
26.67","Handling
65.15","Overall
53.61",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-granger
9, Benefactor Schafter LWB,Sedans,Benefactor,Has Variants,Legendary Motorsport,"$208,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$124,800	
	($282,625 when fully upgraded)",Can be used in Races,88.23 mph (142.00 km/h),Mercedes-Maybach S600,4,"1,850	KG",RWD,5,15-Dec-15,1.31 Executives and Other Criminals,109.50 mph (176.22 km/h),01:09.8,No,1,1,2,1,1,"Speed
76.19","Acceleration
50.00","Braking
28.33","Handling
77.27","Overall
57.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-schafter-lwb
10, Western Deathbike (Arena),Motorcycles,Western,"Arena Contender, Armored Vehicle, Custom Vehicle, Has Liveries, Has Variants, Jump Ability, No Passive Mode, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Arena War,"$1,269,000 ",Garage (Personal Vehicle),Mechanic,Arena Workshop,Can be sold only if purchased (High-End),"$761,400	
	($1,675,810 when fully upgraded)",Arena War Races,91.34 mph (147.00 km/h),Daryl's bike from the TV Series The Walking Dead,1,"135	KG",RWD,4,11-Dec-18,1.46 Arena War,150.00 mph (241.40 km/h),00:59.0,No,3,1,2,1,1,"Speed
78.87","Acceleration
78.13","Braking
36.67","Handling
62.12","Overall
63.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/deathbike-arena
11, Dinka Akuma,Motorcycles,Dinka,Mystery Prize,Southern S.A. Super Autos,"$9,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$5,400	
	($60,900 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Ducati Monster,2,"250	KG",RWD,5,17-Sep-13,1.01 Game Launch,121.25 mph (195.13 km/h),00:58.9,No,1,1,2,1,1,"Speed
77.80","Acceleration
100.00","Braking
40.00","Handling
65.15","Overall
70.74",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-akuma
12, Grotti Brioso R/A,Compacts,Grotti,"Has Liveries, Has Variants, HSW Performance Upgrade, Mystery Prize",Southern S.A. Super Autos,"$155,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$93,000	
	($883,750 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),"Fiat 500; 595 Abarth, Mini John Works Cooper WRC, Suzuki Swift, Nissan Micra",2,"850	KG",NA,6,12-Jul-16,1.35 Cunning Stunts,103.75 mph (166.97 km/h),01:11.3,No,1,1,2,1,1,"Speed
72.43","Acceleration
72.50","Braking
20.00","Handling
69.70","Overall
58.66",https://www.gtabase.com//grand-theft-auto-v/vehicles/grotti-brioso-r-a
13, Weeny Issi Classic,Compacts,Weeny,"Has Liveries, Has Trade Price, Mystery Prize",Southern S.A. Super Autos,"$360,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$216,000	
	($416,863 when fully upgraded)",Can be used in Races,77.67 mph (125.00 km/h),"1967-1970 Mini MK II, Trabant",2,"650	KG",NA,4,17-Apr-18,1.43 Southern SA Super Sport Series,95.25 mph (153.29 km/h),01:18.6,No,1,1,2,1,1,"Speed
67.07","Acceleration
65.00","Braking
10.00","Handling
60.61","Overall
50.67",https://www.gtabase.com//grand-theft-auto-v/vehicles/weeny-issi-classic
